Name,Latitude,Longitude,Bot_Depth,Chl_su,PAR_su,SST_su,Chl_au,PAR_au,SST_au,Chl_win,PAR_win,SST_win,Chl_sp,PAR_sp,SST_sp
St2467,20.791666,110.375,-10,,42.22494125,30.32782936,5.059629917,31.29195023,26.22194672,7.466879845,25.63669014,20.39338303,,38.40230179,26.6271553
St2468,20.791666,110.625,-4,3.697479963,44.85173035,29.72754669,4.529389858,31.42090034,25.72278595,4.554249763,26.10721016,19.86553574,3.746700048,41.4161911,25.59656143
St2469,20.791666,110.791664,-20,1.481240034,46.12730026,29.76197052,3.102420092,31.82076073,25.44164848,3.647439957,26.82312965,19.55140877,1.800070047,42.73366165,26.11221695
St2470,20.791666,111.041664,-30,1.117609978,46.66624832,29.38903427,2.750420094,32.00743866,25.45240593,2.859630108,26.9901104,19.90569687,1.142670035,43.47863007,25.82534218
St2471,20.791666,111.208336,-39,0.603250027,46.5973587,29.38042831,2.037029982,32.02165985,25.51121521,2.011189938,26.95677948,20.20834923,0.657220006,43.20087051,25.90853691
St2472,20.791666,111.375,-48,0.402520001,46.40911865,29.33954811,1.076910019,32.29130936,25.65823936,1.121269941,26.67734909,20.51028442,0.434080005,43.20346069,25.8210392
St2473,20.791666,111.625,-50,0.283010006,46.29143906,29.3416996,0.710340023,32.00017166,25.7529068,0.550289989,26.47966003,20.84162331,0.281379998,42.26900101,26.08209419
St2474,20.791666,111.791664,-53,0.243029997,46.01644897,29.26137543,0.59127003,31.8687191,25.75720978,0.594829977,26.45684052,20.97932434,0.200279996,41.93552017,26.11149979
St2475,20.791666,112.041664,-54,0.225879997,45.18006134,29.30655861,0.503849983,31.60121918,25.76796722,0.493129998,26.42968941,21.27265167,0.175899997,42.4108696,25.98168945
St2476,20.791666,112.208336,-56,0.209140003,45.07099915,29.31803322,0.508069992,31.2684803,25.79952431,0.479689986,26.40686035,21.41465569,0.175630003,41.9829483,25.96662712
St2477,20.791666,112.375,-59,0.178570002,45.31158066,29.30942726,0.536960006,30.91654968,25.81888771,0.439099997,26.46228981,21.56526375,0.160600007,41.81892014,26.11938858
St2478,20.791666,112.625,-60,0.165849999,44.73519897,29.32735634,0.515049994,30.69399071,26.04049873,0.315840006,26.67918015,21.76033783,0.159209996,41.59746933,26.03978157
St2479,20.791666,112.791664,-66,0.159789994,44.84135056,29.32018471,0.334419996,30.17699051,26.14018631,0.37755999,26.82111931,21.889431,0.153219998,41.37094116,25.94511223
St2480,20.791666,113.041664,-70,0.143000007,45.52133179,29.40337753,0.302359998,29.92901039,26.18895531,0.377959996,26.42491913,21.98983765,0.150049999,41.63648987,26.01324463
St2481,20.791666,113.208336,-75,0.148729995,45.52954865,29.43923759,0.349169999,29.55945015,26.2513504,0.323720008,26.41555023,22.04219246,0.145590007,41.77225113,26.16600609
St2482,20.791666,113.375,-79,0.148550004,45.28665924,29.4313488,0.350849986,29.3178196,26.18895531,0.348179996,25.94511986,22.1777401,0.139950007,41.5465889,26.33454323
St2483,20.791666,113.625,-80,0.161750004,44.89265823,29.41126823,0.295700014,29.26968956,26.2456131,0.338369995,25.69355011,22.39146042,0.135710001,42.24139023,26.36036301
St2484,20.791666,113.791664,-82,0.152720004,45.10173035,29.40337753,0.275590003,29.5155201,26.25493622,0.343109995,25.61017036,22.52127075,0.131709993,42.05241013,26.36610031
St2485,20.791666,114.041664,-83,0.193430007,45.51848984,29.37899399,0.25079,29.1925602,26.29581642,0.347090006,25.6839695,22.56143379,0.13876,41.97597122,26.08137703
St2486,20.791666,114.208336,-84,0.16776,45.73141861,29.43923759,0.25018999,29.11289024,26.31302834,0.362910002,25.82784081,22.55641365,0.128150001,42.23567963,26.29223061
St2487,20.791666,114.375,-87,0.15456,45.88848114,29.42919731,0.243560001,29.11334038,26.45072746,0.355369985,25.52853966,22.65036392,0.13143,42.54566956,26.17963219
St2488,20.791666,114.625,-89,0.244599998,45.84133148,29.39333725,0.218810007,28.75665092,26.45861626,0.357740015,25.9575901,22.84687424,0.127069995,43.19583893,26.26712799
St2489,20.791666,114.791664,-94,0.185029998,45.83646011,29.39333725,0.232120007,28.77466011,26.38474655,0.356900007,26.18652916,22.82392311,0.133239999,43.17602921,26.31302834
St2490,20.791666,115.041664,-114,0.130740002,44.95227814,29.43923759,0.207210004,28.78162003,26.45359612,0.35086,26.08357048,23.06131172,0.136639997,42.88977814,26.31804848
St2491,20.791666,115.208336,-149,0.144309998,44.95920181,29.44784355,0.200690001,28.4706192,26.57193184,0.314630002,26.28391075,23.12514114,0.132780001,43.14167023,26.33741188
St2492,20.791666,115.375,-199,0.136989996,44.83443069,29.46218681,0.176679999,28.29624939,26.49304199,0.34307,26.27028084,23.06776619,0.133929998,43.24728012,26.395504
